,Variable,N,Mean,SD,SE,95% Conf.,Interval
0,preferential attachment_score,58482.0,12530.811925036764,62169.292103809756,257.07794168520996,12026.937989581504,13034.685860492023
1,preferential attachment_score,173779.0,15366.280396365499,39808.28249540593,95.49371602482796,15179.114848598048,15553.445944132949
2,combined,232261.0,14652.325547552107,46479.80056204615,96.44419891685132,14463.297406084626,14841.353689019588
